X,Y,Comuna,Interseccion,Numero,Fallecidos
-70.65825526366945,-33.43811412686541,SANTIAGO,1,0,0
-70.6472476,-33.435313500000014,SANTIAGO,1,0,0
-70.64601524870471,-33.43478892676751,SANTIAGO,1,0,0
-70.65068319956987,-33.43607439971362,SANTIAGO,0,955,0
-70.63782001198382,-33.44301848611413,SANTIAGO,1,0,0
-70.65038509949272,-33.45188178871353,SANTIAGO,1,0,0
-70.67562022716464,-33.449981340246715,SANTIAGO,1,0,0
-70.65901284412713,-33.432613821534204,SANTIAGO,0,984,0
-70.65032645380273,-33.43420082141076,SANTIAGO,1,0,0
-70.67005122522549,-33.44166228497667,SANTIAGO,1,0,0
-70.65329994148301,-33.4420906121523,SANTIAGO,0,105,0
-70.6399594,-33.43710690000002,SANTIAGO,0,268,0
-70.64881860189683,-33.43325512132664,SANTIAGO,1,0,0
-70.67979456806472,-33.44156250350659,SANTIAGO,1,0,0
-70.62951113080827,-33.467701825908776,SANTIAGO,1,0,0
-70.66240797751236,-33.43854188822477,SANTIAGO,1,0,0
-70.65047044997489,-33.45115558004174,SANTIAGO,1,0,0
-70.63613357540413,-33.4507300926196,SANTIAGO,0,639,0
-70.65346857110856,-33.432835632243965,SANTIAGO,1,0,0
-70.66786347987497,-33.44809167191448,SANTIAGO,0,2274,0
-70.63624837769697,-33.469898287714635,SANTIAGO,1,0,0
-70.63870875080818,-33.460658149354074,SANTIAGO,1,0,0
-70.6587324115714,-33.431587548926075,SANTIAGO,1,0,0
-70.69685849971984,-33.59296639977936,SANTIAGO,0,50,0
-70.63694459257083,-33.45701102878559,SANTIAGO,1,0,0
-70.64397736516321,-33.45329788818698,SANTIAGO,1,0,0
-70.66911097738966,-33.43300843369224,SANTIAGO,1,0,0
-70.67038794095055,-33.45408748215141,SANTIAGO,0,2484,0
-70.64326859417014,-33.45835107983828,SANTIAGO,1,0,0
-70.64838701786657,-33.453896719863,SANTIAGO,0,95,0
-70.67989388206664,-33.440393019324546,SANTIAGO,1,0,0
-70.65872564147503,-33.43451261996131,SANTIAGO,1,0,0
-70.67429202489755,-33.4496367007657,SANTIAGO,1,0,0
-70.63932896106269,-33.45243298049763,SANTIAGO,1,0,0
-70.65674705833004,-33.43907218183567,SANTIAGO,1,0,0
-70.65352220347151,-33.44104514384144,SANTIAGO,1,0,0
-70.65421605616227,-33.444450191038634,SANTIAGO,1,0,0
-70.6596505105718,-33.453026041315724,SANTIAGO,1,0,0
-70.64475330758977,-33.44236661914982,SANTIAGO,1,0,0
-70.6800952,-33.438943,SANTIAGO,1,0,0
-70.5664278952008,-33.59279986056008,PUENTE ALTO,1,0,0
-70.60438896587794,-33.59124113137295,PUENTE ALTO,1,0,0
-70.55524316196767,-33.5627352090814,PUENTE ALTO,0,4311,0
-70.55434380022604,-33.569786800320394,PUENTE ALTO,0,3691,0
-70.57695710828375,-33.61250597437107,PUENTE ALTO,1,0,0
-70.612328,-33.616263,PUENTE ALTO,1,0,0
-70.60301000031109,-33.59764060003353,PUENTE ALTO,0,2450,0
-70.61320531577257,-33.61689418301996,PUENTE ALTO,1,0,0
-70.57688815276589,-33.6043363944089,PUENTE ALTO,1,0,0
-70.59704311145518,-33.58518117995716,PUENTE ALTO,1,0,0
-70.57393211580977,-33.62000529627217,PUENTE ALTO,0,598,0
-70.57608995475557,-33.60868431071259,PUENTE ALTO,1,0,0
-70.62135099984863,-33.633622899577006,PUENTE ALTO,0,2170,0
-70.57551210224655,-33.61239898459445,PUENTE ALTO,0,11,0
-70.57706735257608,-33.594053398645244,PUENTE ALTO,1,0,0
-70.57048331787281,-33.608566244369264,PUENTE ALTO,1,0,0
-70.59075983153734,-33.5927291671371,PUENTE ALTO,1,0,0
-70.57563247256041,-33.60617022087882,PUENTE ALTO,0,515,0
-70.56903112858356,-33.580129510168604,PUENTE ALTO,1,0,0
