X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.71476118318202,-33.621957452474433,1,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, ,12489,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 12489,1,0,0,0,1
-70.713432730735917,-33.62920594140104,2,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, ,20040,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 20040,0,0,0,1,1
-70.712112710333258,-33.601339084431181,3,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALLE 1 DE MAYO,EYZAGUIRRE,0,CALLE 1 DE MAYO / EYZAGUIRRE,0,0,0,1,1
-70.710570554687308,-33.601829359737096,4,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALLE 1 DE MAYO,FIDEL PINOCHET,0,CALLE 1 DE MAYO / FIDEL PINOCHET,1,0,0,0,1
-70.707259300376393,-33.636547400442119,5,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,PORTALES, ,3000,PORTALES 3000,0,1,0,0,1
-70.706052063052255,-33.607581140257373,6,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,EUCALIPTUS,BULNES,0,EUCALIPTUS / BULNES,0,0,0,1,1
-70.703659115475773,-33.613648066604902,7,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,MATEO DE TORO Y ZAMBRANO,LAS AGATAS,0,MATEO DE TORO Y ZAMBRANO / LAS AGATAS,0,0,0,1,1
-70.699157621926645,-33.618561084526398,8,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,DIEGO PORTALES,CENTRAL,0,DIEGO PORTALES / CENTRAL,0,0,0,1,1
-70.69710660828332,-33.600391540736958,9,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BAQUEDANO, ,820,BAQUEDANO 820,0,0,0,1,1
-70.694670823299816,-33.619191350100678,10,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CENTRAL,LOS ALERCES,0,CENTRAL / LOS ALERCES,0,0,0,1,1
-70.685910489477465,-33.603030886366234,11,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,DUCAUD, ,15575,DUCAUD 15575,0,0,1,0,1
-70.682572746534959,-33.604872820224443,12,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN JOSE,PADRE HURTADO,0,SAN JOSE / PADRE HURTADO,0,0,0,1,1
-70.682211800034509,-33.616942900194672,13,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PADRE HURTADO, ,13560,PADRE HURTADO 13560,0,1,0,0,1
-70.714332789326704,-33.59731444200785,14,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN ALFONSO, ,1000,SAN ALFONSO 1000,0,0,0,1,1
-70.712019783386268,-33.597796328437774,15,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,AMERICA,SAN ALFONSO,0,AMERICA / SAN ALFONSO,0,0,1,0,1
-70.711417142287246,-33.588092025726397,16,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,COLON, ,160,COLON 160,0,0,0,1,1
-70.711318634147631,-33.597926476525629,17,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN ALFONSO,MAHUIDA,0,SAN ALFONSO / MAHUIDA,0,1,0,0,1
-70.708011788313343,-33.595921892181543,18,2,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN JOSE,URMENETA,0,SAN JOSE / URMENETA,0,0,0,2,2
