X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.921864700095682,-33.088772899849282,1,1,TILTIL,2016,1,13303,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133030058,EL ESPINO, , ,39,- EL ESPINO,39 EL ESPINO,0,0,0,1
-70.918987900171317,-33.089121499557393,2,1,TILTIL,2016,1,13303,13,REGION METROPOLITANA,URBANA,5,PUENTE,133030019,BARROS ARANA, , ,10,- BARROS ARANA,10 BARROS ARANA,0,0,0,2
-70.881707000277686,-33.278867699884302,3,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,133020027,BAQUEDANO, , ,65,- BAQUEDANO,65 BAQUEDANO,0,0,1,0
-70.873055547375486,-33.285780256953167,4,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,133020209,PEDRO AGUIRRE CERDA,133020235,SGTO ALDEA, ,PEDRO AGUIRRE CERDA - SGTO ALDEA,PEDRO AGUIRRE CERDA @ SGTO ALDEA,0,0,0,1
-70.870457700062673,-33.28281899989679,5,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020210,PEDRO AGUIRRE CERDA, , ,1370,- PEDRO AGUIRRE CERDA,1370 PEDRO AGUIRRE CERDA,0,0,0,1
-70.869086500141691,-33.3843018999126,6,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240151,CAMINO LUIS CRUZ MARTINEZ, , ,800,- CAMINO LUIS CRUZ MARTINEZ,800 CAMINO LUIS CRUZ MARTINEZ,0,0,0,1
-70.856192822840342,-33.403052434522081,7,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131240138,CAMINO BERNARDO O`HIGGINS,131241255,SIMON BOLIVAR, ,CAMINO BERNARDO O`HIGGINS - SIMON BOLIVAR,CAMINO BERNARDO O`HIGGINS @ SI
-70.81887949968899,-33.427292699798095,8,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240947,NVA 1, , ,17580,- NVA 1,17580 NVA 1,0,0,0,1
-70.81593999993089,-33.224320600015538,9,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020121,ITALIA, , ,1,- ITALIA,1 ITALIA,0,0,1,0
-70.811112899640477,-33.566032000376381,10,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190392,CAMINO A MELIPILLA, , ,1500,- CAMINO A MELIPILLA,1500 CAMINO A MELIPILLA,0,1,0,0
-70.809929609463779,-33.226594777726646,11,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020055,CHILE,133020252,URIBE, ,CHILE - URIBE,CHILE @ URIBE,0,0,0,1
