X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.54222002055961,-33.47371942255481,2017,PEÑALOLEN,CONSISTORIAL,TAGUA TAGUA,0,1,,,,
-70.5421974,-33.4500188,2017,LA REINA,VALENZUELA LLANOS,,8622,0,0.0,0.0,0.0,1.0
-70.5417718,-33.47686,2017,PEÑALOLEN,GRECIA,LOS MOLINEROS,0,1,0.0,1.0,1.0,2.0
-70.5416367,-33.4764063,2017,PEÑALOLEN,GRECIA,,8735,0,0.0,0.0,0.0,1.0
-70.5415477,-33.46281010000002,2017,PEÑALOLEN,JOSE ARRIETA,DIPUTADA LAURA RODRIGUE,0,1,,,,
-70.54118470159891,-33.41671088211453,2017,LAS CONDES,CRISTOBAL COLON,VISVIRI,0,1,,,,
-70.54098137008943,-33.47396028555601,2017,PEÑALOLEN,PASAJE 5,TAGUA TAGUA,0,1,0.0,0.0,0.0,
-70.54095565129353,-33.458448940774566,2017,LA REINA,DIPUTADA LAURA RODRIGUEZ,TALINAY,0,1,,,,
-70.5409196,-33.5924426,2017,PUENTE ALTO,SAN CARLOS,TOBALABA,0,1,,,,
-70.5407531,-33.4404738,2017,LA REINA,PRINCIPE DE GALES,,8700,0,0.0,0.0,0.0,1.0
-70.54060701858991,-33.413160724141754,2017,LAS CONDES,PADRE HURTADO SUR,RIO GUADIANA,0,1,,,,
-70.54014618003814,-33.420875675641646,2017,LAS CONDES,VISVIRI,ALONSO DE CAMARGO,0,1,,,,
-70.54005739053184,-33.40538836248117,2017,LAS CONDES,CAMINO EL ALBA,CARDENAL NEWMAN,0,1,,,,
-70.539934,-33.356379300000015,2017,LO BARNECHEA,JOSE ALCALDE DELANO,CAMINO LOS TRAPENS,0,1,,,,
-70.53993101900537,-33.476439954047244,2017,PEÑALOLEN,GRECIA,AMANECER,0,1,,,,
-70.5397093,-33.353435,2017,LO BARNECHEA,CAMINO LOS TRAPENSES,,2396,0,0.0,0.0,0.0,1.0
-70.5395341,-33.4620151,2017,PEÑALOLEN,CALLE 11 A,LOS ORIENTALES,0,1,0.0,0.0,0.0,1.0
-70.53870097051689,-33.42706251532313,2017,LAS CONDES,MANUEL CLARO VIAL,PADRE HURTADO SU,0,1,,,,
-70.5382098,-33.4233782,2017,LAS CONDES,ALEJANDRO FLEMING,PADRE HURTADO SUR,0,1,,,,
-70.5371692,-33.3802725,2017,VITACURA,LAS CONDES,TABANCURA,0,1,0.0,0.0,0.0,1.0
-70.53697438370257,-33.452650739654324,2017,LA REINA,CUNCUMEN,PASAJE 8,0,1,0.0,1.0,0.0,0.0
-70.53640502910845,-33.45373467796809,2017,LA REINA,PASAJE 9,ANDACOLLO,0,1,0.0,0.0,1.0,0.0
-70.53587834036611,-33.403869049138684,2017,LAS CONDES,CAMINO EL ALBA,VITAL APOQUINDO,0,1,,,,
-70.53558217233082,-33.420719269462005,2017,LAS CONDES,PATRICIA,LOS VILOS,0,1,0.0,0.0,0.0,1.0
-70.5355044,-33.4207011,2017,LAS CONDES,PATRICIA,,9060,0,0.0,0.0,0.0,1.0
-70.53438650416659,-33.464617833860416,2017,PEÑALOLEN,JOSE ARRIETA,QUEBRADA DE UMALLANI,0,1,,,,
-70.5343289,-33.380268600000015,2017,VITACURA,TABANCURA,LAS HUALTATAS INT,0,1,,,,
-70.53398401577539,-33.416176531108434,2017,LAS CONDES,PAUL HARRIS,LA QUEBRADA,0,1,0.0,0.0,0.0,
-70.53393971921179,-33.38406512114881,2017,LAS CONDES,ESTORIL,LAS CONDES,0,1,0.0,,,
-70.5335108,-33.3525128,2017,LO BARNECHEA,SANTA BLANCA,,2160,0,0.0,0.0,0.0,2.0
-70.533507,-33.4171255,2017,LAS CONDES,PAUL HARRIS,,1140,0,0.0,0.0,0.0,1.0
-70.53279738047303,-33.435511149721194,2017,LA REINA,HELSBY,NICANOR PLAZA,0,1,0.0,,,
-70.53221030918228,-33.35481419721092,2017,LO BARNECHEA,SANTA BLANCA,JOSE ALCALDE DELANO,0,1,,,,
-70.53188292451775,-33.38681212649145,2017,LAS CONDES,PAUL HARRIS,RIO MAULE,0,1,0.0,0.0,0.0,1.0
-70.5312419106717,-33.38605164781692,2017,LAS CONDES,PAUL HARRIS,ESTORIL,0,1,0.0,,,
-70.53009499455591,-33.478680310161664,2017,PEÑALOLEN,GRECIA,CAMINO EL PRINCIPE,0,1,,,,
-70.52964167413393,-33.423985828448075,2017,LAS CONDES,VITAL APOQUINDO,ALEJANDRO FLEMING,0,1,,,,
-70.5296338,-33.48130769999999,2017,PEÑALOLEN,NUEVA ESPERANZA,,2181,0,1.0,0.0,0.0,0.0
-70.527484,-33.4727639,2017,PEÑALOLEN,DIAGONAL LAS TORRES,,1230,0,0.0,0.0,0.0,1.0
-70.5261912,-33.496307900000005,2017,PEÑALOLEN,LOS PRESIDENTES,,10795,0,0.0,1.0,0.0,0.0
-70.523729,-33.46993710000001,2017,PEÑALOLEN,ALVARO CASANOVA,LAS VERTIENTES,0,1,,,,
-70.5234679,-33.37499519999999,2017,VITACURA,LAS CONDES,,11800,0,0.0,1.0,0.0,0.0
-70.5205708,-33.60851290000002,2017,PUENTE ALTO,LAS MADRESELVAS,,162,0,0.0,1.0,0.0,0.0
-70.52024705241412,-33.33366530321144,2017,LO BARNECHEA,LA DEHESA,PITRENO,0,1,,,,
-70.520087,-33.367207,2017,LO BARNECHEA,LA DEHESA,RAUL LABBE,0,1,0.0,1.0,0.0,0.0
-70.51924190240052,-33.612519313677225,2017,PUENTE ALTO,LAS MADRESELVAS,,259,0,0.0,1.0,0.0,0.0
-70.51913844099164,-33.38764005941878,2017,LAS CONDES,LAS LAVANDULAS,CAMINO LA FUENTE,0,1,,,,
-70.5186778,-33.487104600000016,2017,PEÑALOLEN,DIAGONAL LAS TORRES,RIO LAUCA,0,1,,,,
